title,price
Seagate Backup Plus Portable 4 TB USB 3.0 External HDD - Black,"8,499"
EDDNA 1ed Mustache & beard trimmer For Unisex ( Red ),370
"Lenovo 81N400EBIN  (Intel Core i5/8th Gen/8 GB/512 GB SSD/35.6 cm (14 inch)/Windows 10) 81N400EBIN (Platinum Grey, 1.65 Kg)","76,290"
Samsung Galaxy Note 20 Ultra 5G 12 GB 256 GB Mystic Bronze,"1,04,999"
Toshiba Canvio Basics 1 TB USB 3.0 External HDD - Black,"3,799"
Redmi 8 4GB 64GB Green,"10,900"
boAt Bassheads 182 In-Ear Wired Headphone ( Black ),479
Bovty MT2 In-Ear Bluetooth Headset ( Assorted ),174
"Lenovo V330 (Intel Core i3- 8th Gen/ 4 GB RAM/ 1 TB HDD/ 35.56 cm (14 inch)/ DOS) 81B0A0ULIN (Black , 1.5 kg)","34,999"
Kingston 32 GB USB 3.0 Pendrive ( Multi ),469
KEMEI 5017 Pro Cordless Trimmer For Men (Silver),879
"Lenovo Legion Y530 (Core i5 - 8300H 8th Gen/8 GB RAM/1 TB + 128 GB SSD/39.62 cm (15.6 inch) FHD/Windows 10/4 GB GTX 1050Ti Graphics) 81FV00JLIN (Raven Black, 2.3 Kg)","74,290"
Samsung Galaxy A21s 6 GB 64 GB Black,"16,499"
SanDisk Ultra Dual Micro USB OTG 32 GB USB 3.0 Pendrive ( Gold ),579
OPPO Reno4 Pro 8 GB 128 GB Starry Night,"34,990"
"S4 High Bass Wired Earphone Compatible for Oppo F9 Pro, Oppo F11 Pro, Oppo A3s, Oppo A7, Oppo A5, Oppo A83, F5, Oppo F7, Oppo K1, RealMe 3, Realme U1, Realme 1 In-Ear Wired Headphone ( White )",199
JBL JBLT50HIBLKIN In-Ear Wired Headphone ( Black ),479
"Lenovo L380 (Intel Core i5- 8th Gen/ 8 GB RAM/ 256 GB SSD/ 33.78 cm (13.3 inch)/ Windows 10) 20M8S1VG00 (Black , 1.3 kg)","81,990"
Tiitan 64 GB UHS-3 MicroSD Memory Card ( Pack of 1 ),590
Innova Sweet Sensitive Precision Beauty Styler Hair Removal,289
Lenovo ThinkPad E14 Intel Core i3 10th Gen 14-inch Full HD Thin and Light Laptop (4GB RAM/ 500GB HDD/ Windows 10 Professional/ Black/ 1.77 kg)  20RAS0ST00,"48,790"
OPPO A12 4 GB 64 GB Blue,"11,490"
