Mobile Name,Price
"Redmi Note 5 Pro (Rose Gold, 64 GB)","15,990"
"Redmi Note 5 Pro (Blue, 64 GB)","11,501"
"Redmi Note 5 Pro (Blue, 64 GB)","11,501"
"Redmi Note 4 (Black, 64 GB)","11,000"
"Redmi Note 4 (Gold, 64 GB)","11,000"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","16,900"
"Redmi Note 5 (Blue, 32 GB)","10,990"
"Redmi Note 5 (Black, 32 GB)","10,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","15,900"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","15,999"
"Redmi 4 (Gold, 32 GB)","9,399"
"Redmi Note 9 (Pebble Grey, 128 GB)","15,749"
"Redmi 9 Prime (MatteBlack, 64 GB)","11,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","15,999"
"Redmi Note 7 Pro (Space Black, 64 GB)","15,499"
"Redmi Note 7 Pro (Space Black, 64 GB)","15,999"
"Mi A2 (Rose Gold, 64 GB)","17,000"
"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","15,999"
"Redmi Note 7 (Ruby Red, 64 GB)","14,900"
"Mi A1 (Black, 64 GB)","15,999"
